Date,Price
1-Jan-13,3.351
1-Feb-13,3.693
1-Mar-13,3.735
1-Apr-13,3.59
1-May-13,3.623
1-Jun-13,3.633
1-Jul-13,3.628
1-Aug-13,3.6
1-Sep-13,3.556
1-Oct-13,3.375
1-Nov-13,3.251
1-Dec-13,3.277
1-Jan-14,3.32
1-Feb-14,3.364
1-Mar-14,3.532
1-Apr-14,3.659
1-May-14,3.691
1-Jun-14,3.695
1-Jul-14,3.633
1-Aug-14,3.481
1-Sep-14,3.403
1-Oct-14,3.182
1-Nov-14,2.887
1-Dec-14,2.56
1-Jan-15,2.11
1-Feb-15,2.249
1-Mar-15,2.483
1-Apr-15,2.485
1-May-15,2.775
1-Jun-15,2.832
1-Jul-15,2.832
1-Aug-15,2.679
1-Sep-15,2.394
1-Oct-15,2.289
1-Nov-15,2.185
1-Dec-15,2.06
1-Jan-16,1.967
1-Feb-16,1.767
1-Mar-16,1.958
1-Apr-16,2.134
1-May-16,2.264
1-Jun-16,2.363
1-Jul-16,2.225
1-Aug-16,2.155
1-Sep-16,2.208
1-Oct-16,2.243
1-Nov-16,2.187
1-Dec-16,2.23
1-Jan-17,2.351
1-Feb-17,2.299
1-Mar-17,2.323
1-Apr-17,2.418
1-May-17,2.386
1-Jun-17,2.337
1-Jul-17,2.281
1-Aug-17,2.374
1-Sep-17,2.63
1-Oct-17,2.484
1-Nov-17,2.548
1-Dec-17,2.459
1-Jan-18,2.539
1-Feb-18,2.575
1-Mar-18,2.572
1-Apr-18,2.737
1-May-18,2.907
1-Jun-18,2.914
1-Jul-18,2.873
1-Aug-18,2.862
1-Sep-18,2.873
1-Oct-18,2.887
1-Nov-18,2.671
1-Dec-18,2.414
1-Jan-19,2.289
1-Feb-19,2.353
1-Mar-19,2.564
1-Apr-19,2.835
1-May-19,2.901
1-Jun-19,2.752
1-Jul-19,2.776
1-Aug-19,2.655
1-Sep-19,2.63
1-Oct-19,2.673
1-Nov-19,2.62
1-Dec-19,2.587
1-Jan-20,2.567
1-Feb-20,2.465
1-Mar-20,2.267
1-Apr-20,1.876
1-May-20,1.879
1-Jun-20,2.076
1-Jul-20,2.176
1-Aug-20,2.177
1-Sep-20,2.193
1-Oct-20,2.159
1-Nov-20,2.09
1-Dec-20,2.168
1-Jan-21,2.326
1-Feb-21,2.496
1-Mar-21,2.791
1-Apr-21,2.839
1-May-21,2.972
1-Jun-21,3.154
1-Jul-21,3.233
1-Aug-21,3.255
1-Sep-21,3.265
1-Oct-21,3.385
1-Nov-21,3.482
1-Dec-21,3.408
1-Jan-22,3.413
1-Feb-22,3.592
1-Mar-22,4.312
1-Apr-22,4.271
1-May-22,4.604
1-Jun-22,5.058
1-Jul-22,4.667
1-Aug-22,4.101
1-Sep-22,3.881
1-Oct-22,4.016
1-Nov-22,3.853
1-Dec-22,3.356
1-Jan-23,3.452
1-Feb-23,3.514
1-Mar-23,3.551
1-Apr-23,3.735
1-May-23,3.685
1-Jun-23,3.712
